commentId,videoId,authorChannelId,likeCount,publishedAt
z121dzgylkz5g5aks23byh3w0na3hvntc,CQ2noSR1qdY,UCv9xYDIsEQG18F-zfSSVJNg,0,14/03/2017 05:20:51
z13atbjpbpikyjxjz04cgztojk2gshrij50,Pk2oW4SDDxY,UCv9xYDIsEQG18F-zfSSVJNg,0,14/03/2017 05:20:09
z13ijjnaxxrqi5fhf04chjsjplnfth1qozk0k,Pk2oW4SDDxY,UCoReEWLQfmtWRt9SDQzw67A,0,03/03/2017 00:29:47
z13fg3uhwwy5jvgtg22dulbhvpb5vdak4,yzGzB-yYKcc,UCy-pG7_XOmbA8LAxKyo9aTg,0,13/03/2017 06:40:18
z13yejgiqqjofhswv04cjlzzolfczfqgwgg,yzGzB-yYKcc,UC0qrPgeOS80Cp3BR8sC-UJQ,0,06/03/2017 14:17:17
z13ngjeydredubdnf23byh3w0na3hvntc,kXYXuXX48m8,UCv9xYDIsEQG18F-zfSSVJNg,0,14/03/2017 05:29:25
z120hfnr1mvxgfu3e22dulbhvpb5vdak4,kXYXuXX48m8,UCy-pG7_XOmbA8LAxKyo9aTg,0,13/03/2017 07:04:57
z13wx3npfxnyzxz4i04cgztojk2gshrij50,fPloDzu_wcI,UCv9xYDIsEQG18F-zfSSVJNg,0,14/03/2017 05:32:52
z13tjpa5nkvugbebk04cdbe4xriowrh4u0k,fPloDzu_wcI,UCy-pG7_XOmbA8LAxKyo9aTg,0,10/03/2017 02:31:26
z13gdjj4qovtdnm3j23fy3xgguyfchpbw04,eAFnby2184o,UCoReEWLQfmtWRt9SDQzw67A,0,02/03/2017 23:14:40
z13xxvhzpyesz15jm04ch5hpvxe1fneorfg,eAFnby2184o,UCBoP1ghLhjK-dppa-I33tPw,0,02/03/2017 22:56:05
z12depdj4ymtxdqjr04cfj0zwyvqc1gorso0k,X8Buy2X0kFo,UCMT3UOQzPiCKqCReWR8owgA,0,24/02/2017 04:35:30
z12rifu4qvmigjmwt04cdd0rokvvyb3hb1s,X8Buy2X0kFo,UCyngH6Vf2gT0JqImVkG6WVQ,0,22/02/2017 09:08:18
z13aeh4imqmkwtka404ciro5kumgcdmjuug0k,XXCbffp7jLM,UCp97Qk5jDrW1ptIVcFTy9cw,0,13/03/2017 14:47:53
z12wwjrb5lexsboqq04chdfrxvvntz4jvgw,XXCbffp7jLM,UCim1l11kLFWFi0-_3vW3CCg,0,22/02/2017 06:09:34
z13lydlrfrbldnoyj04cidcj2mjlh3eieyo0k,tug71xZL7yc,UCshGKwEHm5TWnw3gXbJUhYg,0,01/03/2017 01:45:56
z12zerbwesz2s5ns523wtdxa5mz5dl1gy04,tug71xZL7yc,UCecsg_4TIgQo_-CB49IAJnw,0,13/02/2017 19:16:33
z12nftfzho3whb42022pwp452sjlxvehe04,DeQqe0oj5Ls,UC4Kk4bjVAKDYXIuQIIP2GvA,0,14/03/2017 00:37:15
z12bdpfxsra0ct0wb04ccthh2vuqejcwwhs,DeQqe0oj5Ls,UC3poSsTBTLoi9wQ3STAguYw,0,08/03/2017 22:29:00
z13pjxbo3nmxxj51k23cu1wzquy4h1j0b,xM8qVuc32Rc,UCo_0ZQmC5NQCMbn0gLxb7uw,1,26/01/2017 14:48:46
z13muvtomo3bdt5rd04cgnnq0uyhufizydw,xM8qVuc32Rc,UCHgZMFR1mhEd7l9OGg3ddng,1,13/01/2017 15:48:02
z12dszyp4qzqzps2o22fhjxh4oacw5odo,InSJBzZr414,UCmbd6vqAY7vWdHZAUCWYRRQ,0,10/03/2017 07:42:08
